1,"c(""anime rock"", ""j-pop"", ""j-rock"")",4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,74,2786046,j-pop
2,"c(""j-pop"", ""japanese teen pop"")",64tJ2EAv1R6UaZqc4iOCyj,YOASOBI,76,5993524,j-pop
3,"c(""j-pop"", ""japanese soul"")",2IUl3m1H1EQ7QfNbNWvgru,Vaundy,70,1745129,j-pop
4,"c(""j-pop"", ""j-rock"")",6rs1KAoQnFalSqSU4LTh8g,back number,69,3961509,j-pop
5,"c(""anime"", ""anime rock"", ""j-pop"")",5Vo1hnCRmCM6M4thZCInCj,OFFICIAL HIGE DANDISM,70,5807377,j-pop
6,"c(""anime"", ""j-pop"")",1snhtMLeb2DYoMOcVbb8iB,Kenshi Yonezu,72,5133791,j-pop
7,"c(""j-pop"", ""japanese singer-songwriter"", ""japanese [...]",0ixzjrK1wkN2zWBXt3VW3W,Yuuri,68,1958574,j-pop
8,"c(""j-acoustic"", ""j-pop"")",5kVZa4lFUmAQlBogl1fkd6,Aimyon,67,4739305,j-pop
9,"c(""classic j-pop"", ""j-pop"", ""j-rock"")",5kjGRHClVacSyllOUqU1S0,SPITZ,66,1962193,j-pop
10,"c(""j-pop"", ""japanese teen pop"")",6mEQK9m2krja6X1cfsAjfl,Ado,70,2813796,j-pop
11,"c(""j-pop"", ""j-rock"", ""japanese emo"", ""visual kei"")",1EowJ1WwkMzkCkRomFhui7,RADWIMPS,70,3511206,j-pop
12,j-pop,4UK2Lzi6fBfUi9rpDt6cik,ヨルシカ,67,2150534,j-pop
13,"c(""anime"", ""j-pop"", ""japanese alternative rock"", "" [...]",1t17z3vfuc82cxSDMrvryJ,Macaroni Empitsu,64,1059175,j-pop
14,"c(""j-pop"", ""japanese singer-songwriter"", ""japanese [...]",7JthQ6zwNzfxRfIEjp6wUs,HIRAIDAI,63,1430893,j-pop
15,japanese teen pop,6bDWAcdtVR3WHz2xtiIPUi,Fujii Kaze,72,2424860,j-pop
16,"c(""classic j-pop"", ""j-pop"")",79nkC8XZ5ohEVU0Xlf5Ael,サザンオールスターズ,63,1394023,j-pop
17,"c(""j-indie"", ""j-pop"", ""japanese alternative rock"")",4WqXqPmUuenMIr4QaFrZXN,Saucy Dog,63,910696,j-pop
18,"c(""j-pop"", ""j-rock"")",6wxfx1yhyqjCPYwwxJktR2,King Gnu,65,2832094,j-pop
19,"c(""j-pop"", ""j-rock"", ""japanese emo"")",7k73EtZwoPs516ZxE72KsO,ONE OK ROCK,68,5048378,j-pop
20,"c(""classic j-pop"", ""j-pop"", ""j-rock"")",1qma7XhwZotCAucL7NHVLY,Mr.Children,61,3075345,j-pop
21,"c(""j-pop"", ""japanese teen pop"")",0B1ce3uNrzkdm76NXI4mhX,Tani Yuuki,61,420393,j-pop
